Array.Data.File	Characteristics.OrganismPart.	Characteristics.Cell.Line.Name.	Characteristics.DiseaseState.	Characteristics.Catalog.Number.	source	sub_type
160513_1_RMUG-S_(HG-U133_Plus_2)	Ovary	RMUG-S	Ovary	FUGU.fimm	FIMM	mucinous
160513_2_RMG-V_(HG-U133_Plus_2)	Ovary	RMUG-V	Ovary	FUGU.fimm	FIMM	mucinous
160513_3_JHOC-7_(HG-U133_Plus_2)	Ovary	JHOC-7	Ovary	FUGU.fimm	FIMM	clear cell
160513_4_KK_(HG-U133_Plus_2)	Ovary	KK	Ovary	FUGU.fimm	FIMM	clear cell
160513_5_RMG-II_(HG-U133_Plus_2)	Ovary	RMG-2	Ovary	FUGU.fimm	FIMM	clear cell
160513_6_HUOCA-II_(HG-U133_Plus_2)	Ovary	HUOCA-2	Ovary	FUGU.fimm	FIMM	clear cell
160513_7_JHOC-9_(HG-U133_Plus_2)	Ovary	JHOC-9	Ovary	FUGU.fimm	FIMM	clear cell
160513_8_OMC-3_(HG-U133_Plus_2)	Ovary	OMC-3	Ovary	FUGU.fimm	FIMM	mucinous
