[Header]																																																																									
GSGX Version	1.9.0																																																																								
Report Date	4.4.2013 12:36:12																																																																								
Project	40413																																																																								
Group Set	40413																																																																								
Analysis	040413_nonorm_nobkgd																																																																								
Normalization	none																																																																								
[Control Probe Profile]																																																																									
TargetID	ProbeID	9269324046_A.AVG_Signal	9269324046_A.NARRAYS	9269324046_A.ARRAY_STDEV	9269324046_A.BEAD_STDERR	9269324046_A.Avg_NBEADS	9269324046_A.Detection Pval	9269324046_B.AVG_Signal	9269324046_B.NARRAYS	9269324046_B.ARRAY_STDEV	9269324046_B.BEAD_STDERR	9269324046_B.Avg_NBEADS	9269324046_B.Detection Pval	9269324046_C.AVG_Signal	9269324046_C.NARRAYS	9269324046_C.ARRAY_STDEV	9269324046_C.BEAD_STDERR	9269324046_C.Avg_NBEADS	9269324046_C.Detection Pval	9269324046_D.AVG_Signal	9269324046_D.NARRAYS	9269324046_D.ARRAY_STDEV	9269324046_D.BEAD_STDERR	9269324046_D.Avg_NBEADS	9269324046_D.Detection Pval	9269324046_E.AVG_Signal	9269324046_E.NARRAYS	9269324046_E.ARRAY_STDEV	9269324046_E.BEAD_STDERR	9269324046_E.Avg_NBEADS	9269324046_E.Detection Pval	9269324046_F.AVG_Signal	9269324046_F.NARRAYS	9269324046_F.ARRAY_STDEV	9269324046_F.BEAD_STDERR	9269324046_F.Avg_NBEADS	9269324046_F.Detection Pval	9269324046_G.AVG_Signal	9269324046_G.NARRAYS	9269324046_G.ARRAY_STDEV	9269324046_G.BEAD_STDERR	9269324046_G.Avg_NBEADS	9269324046_G.Detection Pval	9269324046_H.AVG_Signal	9269324046_H.NARRAYS	9269324046_H.ARRAY_STDEV	9269324046_H.BEAD_STDERR	9269324046_H.Avg_NBEADS	9269324046_H.Detection Pval	9269324046_I.AVG_Signal	9269324046_I.NARRAYS	9269324046_I.ARRAY_STDEV	9269324046_I.BEAD_STDERR	9269324046_I.Avg_NBEADS	9269324046_I.Detection Pval	9269324046_J.AVG_Signal	9269324046_J.NARRAYS	9269324046_J.ARRAY_STDEV	9269324046_J.BEAD_STDERR	9269324046_J.Avg_NBEADS	9269324046_J.Detection Pval	9269324046_K.AVG_Signal	9269324046_K.NARRAYS	9269324046_K.ARRAY_STDEV	9269324046_K.BEAD_STDERR	9269324046_K.Avg_NBEADS	9269324046_K.Detection Pval	9269324046_L.AVG_Signal	9269324046_L.NARRAYS	9269324046_L.ARRAY_STDEV	9269324046_L.BEAD_STDERR	9269324046_L.Avg_NBEADS	9269324046_L.Detection Pval
ERCC-00004-01	6940240	108.1	1	NaN	4.396	22	0.48571	92.4	1	NaN	2.771	14	0.99351	99.5	1	NaN	3.575	23	0.92078	106.8	1	NaN	3.86	27	0.56883	98.3	1	NaN	3.22	21	0.95195	102.9	1	NaN	3.467	28	0.88442	102	1	NaN	3.202	35	0.73377	106.7	1	NaN	3.463	28	0.74545	99.3	1	NaN	2.85	22	0.97532	102.1	1	NaN	3.731	14	0.86623	88.1	1	NaN	2.93	18	1	98.8	1	NaN	2.985	23	0.91299
ERCC-00009-01	60372	98.3	1	NaN	2.391	27	0.94545	102.8	1	NaN	3.179	28	0.76623	101.4	1	NaN	2.515	20	0.85974	103.6	1	NaN	3.115	28	0.73896	100.1	1	NaN	3.672	12	0.91818	108.5	1	NaN	3.609	20	0.64675	97.4	1	NaN	3.609	21	0.91558	101.7	1	NaN	2.611	27	0.93117	109.2	1	NaN	2.442	27	0.64286	98.1	1	NaN	3.64	20	0.95974	105.4	1	NaN	2.968	24	0.48701	98.5	1	NaN	3.304	22	0.92208
ERCC-00012-01	3870280	100.8	1	NaN	3.558	30	0.87792	102.9	1	NaN	3.719	19	0.76104	101.4	1	NaN	2.944	26	0.86104	101.3	1	NaN	2.335	18	0.84545	103.5	1	NaN	3.548	26	0.79481	109.9	1	NaN	3.484	24	0.54935	98.5	1	NaN	2.116	24	0.88312	96.5	1	NaN	3.476	25	0.99481	96.1	1	NaN	3.14	13	0.99221	98.7	1	NaN	3.002	20	0.95195	92.7	1	NaN	3.008	26	0.99481	96.5	1	NaN	4.591	13	0.96104
ERCC-00013-01	1010100	101.7	1	NaN	3.487	32	0.83247	102	1	NaN	3.203	23	0.8039	100.3	1	NaN	2.617	31	0.89481	99	1	NaN	3.882	22	0.92857	103.4	1	NaN	4.064	24	0.7987	106.7	1	NaN	2.326	27	0.73377	101.5	1	NaN	5.252	15	0.75584	107.6	1	NaN	3.81	18	0.71429	108.7	1	NaN	4.742	19	0.67273	104	1	NaN	3.441	26	0.78442	101.9	1	NaN	3.377	17	0.7026	95.6	1	NaN	4.156	17	0.96883
ERCC-00014-02	2970682	102.2	1	NaN	2.563	21	0.80649	110	1	NaN	3.329	23	0.34026	108.9	1	NaN	2.519	22	0.44416	112.3	1	NaN	4.572	20	0.26364	110.6	1	NaN	3.874	16	0.36883	110.5	1	NaN	3.736	21	0.51299	104.2	1	NaN	3.607	20	0.57792	111.1	1	NaN	3.687	29	0.48961	116.7	1	NaN	3.878	32	0.24935	109.5	1	NaN	4.047	20	0.49091	99.8	1	NaN	2.681	19	0.82727	106.9	1	NaN	3.241	35	0.56364
ERCC-00016-01	1450040	103.9	1	NaN	3.789	16	0.72078	104.8	1	NaN	3.39	17	0.64675	108	1	NaN	5.46	14	0.4974	108.4	1	NaN	3.722	27	0.45844	107.3	1	NaN	4.144	29	0.57143	102.9	1	NaN	3.709	17	0.88182	104.4	1	NaN	2.708	27	0.57013	106.3	1	NaN	3.04	21	0.76623	120	1	NaN	5.156	17	0.15325	120.2	1	NaN	2.63	12	0.10779	109.9	1	NaN	3.583	22	0.25455	95.9	1	NaN	4.45	11	0.96494
ERCC-00017-02	5130189	107.3	1	NaN	4.041	25	0.52338	100.2	1	NaN	3.053	19	0.89221	95.6	1	NaN	3.122	22	0.99091	101.8	1	NaN	4.432	20	0.82338	106.5	1	NaN	2.451	25	0.61299	100.7	1	NaN	2.078	14	0.95065	101.1	1	NaN	2.978	27	0.77662	103.9	1	NaN	4.073	15	0.87273	104.5	1	NaN	3.126	24	0.86623	99.8	1	NaN	3.644	20	0.93506	100.5	1	NaN	2.684	23	0.77532	99.5	1	NaN	3.407	22	0.9013
ERCC-00019-01	4880307	96.8	1	NaN	2.229	28	0.97273	99.7	1	NaN	2.784	25	0.9	103	1	NaN	3.298	21	0.7974	95.3	1	NaN	2.984	20	0.99091	105.8	1	NaN	3.142	22	0.65714	99	1	NaN	3.152	22	0.98052	104.9	1	NaN	2.991	21	0.54286	101	1	NaN	4.38	21	0.94935	108.7	1	NaN	3.655	23	0.67143	101	1	NaN	2.982	21	0.90649	103.3	1	NaN	4.437	24	0.62208	107.5	1	NaN	4.525	21	0.53247
ERCC-00022-02	1070725	95.9	1	NaN	2.952	23	0.98182	99.2	1	NaN	2.902	18	0.91688	103.4	1	NaN	3.658	22	0.77662	91.7	1	NaN	2.218	21	0.9987	105.5	1	NaN	3.623	23	0.68052	102.6	1	NaN	2.953	31	0.8987	93.7	1	NaN	3.221	27	0.98052	101.4	1	NaN	3.366	18	0.94026	103.6	1	NaN	2.94	33	0.89351	103.9	1	NaN	2.411	30	0.79351	102.8	1	NaN	2.41	21	0.65714	102.6	1	NaN	2.765	22	0.78312
ERCC-00024-02	6940193	95.9	1	NaN	2.293	28	0.98182	95.3	1	NaN	2.417	31	0.98442	100	1	NaN	2.915	28	0.90649	101.9	1	NaN	3.719	29	0.82208	101.5	1	NaN	2.649	26	0.87013	100.2	1	NaN	2.709	25	0.96364	102	1	NaN	2.922	19	0.73377	98.2	1	NaN	1.812	17	0.97922	103.2	1	NaN	3.071	29	0.9	100.9	1	NaN	3.016	28	0.90649	97.8	1	NaN	2.43	23	0.92208	95.5	1	NaN	3.167	20	0.96883
